Question,label
"Solve for x: \(2(x + 3) = 4x - 5\).","0"
"Find the area of a triangle with base 10 cm and height 6 cm.","1"
"Calculate \(\frac{d}{dx}(3x^4 - 2x^3 + x - 5)\).","2"
"What is the probability of rolling a prime number on a standard 6-sided die?","3"
"Find the GCD of 48 and 64.","4"
"How many permutations exist for the letters in 'MATHS'?","5"
"Rationalize \(\frac{3}{\sqrt{2} + 1}\).","0"
"Determine the volume of a sphere with radius 5 cm.","1"
"Evaluate \(\lim_{x \to 0} \frac{\sin(3x)}{x}\).","2"
"A bag contains 4 red and 3 blue marbles. What's the probability of drawing two red marbles with replacement?","3"
"Find the smallest prime number greater than 50.","4"
"How many subsets does a set with 6 elements have?","5"
"Solve the system: \(2x + y = 7\), \(x - 3y = 5\).","0"
"Calculate the diagonal length of a rectangle with sides 3 and 4.","1"
"Find \(\int (2x + 3)^2 dx\).","2"
"Compute the expected value of a fair 6-sided die roll.","3"
"Determine if 143 is divisible by 11.","4"
"How many 4-digit numbers contain at least one even digit?","5"
"Simplify \(\frac{x^2 - 9}{x^2 + 3x}\).","0"
"Find the angle between vectors (3,4) and (-4,3).","1"
"Solve the differential equation \(dy/dx = 2y\).","2"
"What is the probability of flipping 3 heads in 5 coin tosses?","3"
"Find the modular inverse of 7 mod 19.","4"
"How many ways can 8 people sit around a circular table?","5"
"Expand \((x + 2)^3\).","0"
"Calculate the surface area of a cylinder with radius 2 and height 5.","1"
"Find the Maclaurin series for \(e^{2x}\).","2"
"Given mean 75 and SD 5, find the z-score for 80.","3"
"Solve \(7x \equiv 3 \mod 11\).","4"
"How many 5-card hands contain exactly 2 aces?","5"
"Factor \(x^4 - 16\).","0"
"Prove the Pythagorean theorem for a right triangle with legs 5 and 12.","1"
"Calculate \(\int_0^\pi \sin(x) dx\).","2"
"Find the median of {2,5,1,7,3,8}.","3"
"Determine \(2^{100} \mod 13\).","4"
"Count the derangements of 4 elements.","5"
"Solve \(\log_2(x) + \log_2(x+2) = 3\).","0"
"Find the circumradius of a triangle with sides 7, 24, 25.","1"
"Evaluate \(\sum_{n=1}^\infty \frac{1}{n^2}\).","2"
"Compute the variance of {1,3,5,7}.","3"
"Find the prime factorization of 360.","4"
"How many ways can 10 books be divided into 3 groups?","5"
"Simplify \(\sqrt{50} + \sqrt{18}\).","0"
"Calculate the area of a regular hexagon with side length 4.","1"
"Find \(f''(x)\) for \(f(x) = \ln(x)\).","2"
"Two dice are rolled. What's the probability the sum is 7?","3"
"Solve \(x^2 \equiv 4 \mod 15\).","4"
"How many bijections exist from {1,2,3} to {a,b,c}?","5"
"Solve \(3^{x} = 81\).","0"
"Find the volume ratio between two similar pyramids with scale factor 3:1.","1"
"Calculate \(\int \frac{1}{x^2 + 4} dx\).","2"
"What's the probability a 5-card hand has all suits represented?","3"
"Find the units digit of \(7^{123}\).","4"
"How many 8-bit strings have exactly three 1s?","5"
"Find the inverse of \(f(x) = 2x + 3\).","0"
"Determine the area under \(y = x^2\) from 0 to 2 using rectangles.","2"
"Compute \(\binom{10}{3}\).","5"
"Solve \(|2x - 5| = 7\).","0"
"Calculate the angle of elevation for a 10m tall tree 15m away.","1"
"Find \(\frac{dy}{dx}\) for \(y = e^{x} \cos(x)\).","2"
"What is the 75th percentile of {1,2,3,4,5,6,7,8,9}?","3"
"Prove \(\sqrt{2}\) is irrational.","4"
"How many ways can 6 people form two teams of three?","5"
"Simplify \(\frac{(3+i)}{(1-i)}\) in a+bi form.","0"
