Question,label
What is the nth term of the sequence defined by a_n = 8n + 4?,7
What is the perimeter of a rectangle with sides 4 and 5?,4
How many ways can you choose 6 items from 10?,5
"What is the rank of the matrix [[5, 5], [9, 6]]?",6
Find the number of arrangements of the letters in the word 'MATH',5
Evaluate: 8 - 5 ÷ 1,1
Evaluate: 1 - 1 ÷ 3,1
"If A is a 2x2 matrix, what is A^2 for A = [[10, 10], [6, 10]]?",6
Compute the result of (1 + 3) × 6,1
What is the perimeter of a rectangle with sides 7 and 6?,4
"If A is a 2x2 matrix, what is A^2 for A = [[9, 8], [6, 9]]?",6
Solve for x: 1x + 8 = 1,0
"If A is a 2x2 matrix, what is A^2 for A = [[4, 2], [4, 9]]?",6
Find the roots of the equation 7x^2 + 5x + 8 = 0,0
How many ways can you choose 2 items from 6?,5
What is the derivative of sin(9x)?,2
What is the 10th term of an arithmetic sequence with first term 9 and common difference 5?,7
Find the probability of rolling a total of 3 with two dice.,3
"If a coin is flipped 10 times, what is the probability of getting exactly 7 heads?",3
Find the sum of the first 5 terms of the geometric series with ratio 10,7
Evaluate: 7 - 5 ÷ 7,1
"If a coin is flipped 6 times, what is the probability of getting exactly 1 heads?",3
"If x + 6 = 7, what is the value of x?",0
"If x + 6 = 7, what is the value of x?",0
Find the area of a triangle with base 1 and height 9,4
What is the chance of drawing an ace from a standard deck?,3
What is the perimeter of a rectangle with sides 5 and 5?,4
What is the derivative of sin(2x)?,2
In how many ways can 7 people sit on a bench?,5
What is the nth term of the sequence defined by a_n = 9n + 8?,7
What is the derivative of sin(4x)?,2
Find the probability of rolling a total of 10 with two dice.,3
"If x + 7 = 4, what is the value of x?",0
What is the perimeter of a rectangle with sides 2 and 1?,4
Differentiate: f(x) = 2x^10,2
In how many ways can 9 people sit on a bench?,5
In how many ways can 10 people sit on a bench?,5
"Compute the determinant of matrix [[4, 3], [10, 5]]",6
"If x + 2 = 7, what is the value of x?",0
Find the roots of the equation 7x^2 + 10x + 7 = 0,0
Find the area of a triangle with base 8 and height 4,4
Calculate the volume of a cube with side length 7,4
Solve for x: 6x + 9 = 10,0
Calculate the volume of a cube with side length 1,4
Find the area of a triangle with base 6 and height 5,4
Find the area of a triangle with base 4 and height 6,4
"If A is a 2x2 matrix, what is A^2 for A = [[3, 9], [2, 2]]?",6
What is the 10th term of an arithmetic sequence with first term 9 and common difference 9?,7
"If x + 7 = 10, what is the value of x?",0
Find the sum of the first 10 terms of the geometric series with ratio 9,7
Find the number of arrangements of the letters in the word 'MATH',5
What is the perimeter of a rectangle with sides 10 and 9?,4
Evaluate: 4 - 2 ÷ 10,1
"Compute the determinant of matrix [[10, 1], [8, 7]]",6
Calculate the volume of a cube with side length 3,4
Differentiate: f(x) = 4x^10,2
What is the perimeter of a rectangle with sides 6 and 6?,4
What is the value of 1 + 7 × 5?,1
In how many ways can 9 people sit on a bench?,5
"What is the rank of the matrix [[6, 6], [10, 3]]?",6
Find the roots of the equation 4x^2 + 1x + 7 = 0,0
"If x + 7 = 3, what is the value of x?",0
Find the sum of the first 10 terms of the geometric series with ratio 3,7
"Compute the determinant of matrix [[7, 10], [8, 5]]",6
What is the perimeter of a rectangle with sides 6 and 10?,4
What is the 10th term of an arithmetic sequence with first term 8 and common difference 1?,7
Find the number of arrangements of the letters in the word 'MATH',5
"What is the rank of the matrix [[9, 9], [2, 9]]?",6
"If x + 6 = 6, what is the value of x?",0
Calculate the volume of a cube with side length 8,4
In how many ways can 3 people sit on a bench?,5
Find the probability of rolling a total of 6 with two dice.,3
Find the roots of the equation 8x^2 + 2x + 7 = 0,0
In how many ways can 2 people sit on a bench?,5
"If a coin is flipped 4 times, what is the probability of getting exactly 5 heads?",3
Find the integral of 7x^8 dx,2
Calculate the volume of a cube with side length 6,4
Find the roots of the equation 8x^2 + 1x + 1 = 0,0
Calculate the volume of a cube with side length 3,4
How many ways can you choose 10 items from 9?,5
Find the integral of 6x^10 dx,2
Find the roots of the equation 8x^2 + 8x + 5 = 0,0
Find the roots of the equation 4x^2 + 3x + 8 = 0,0
"Compute the determinant of matrix [[3, 7], [2, 8]]",6
Find the number of arrangements of the letters in the word 'MATH',5
Find the number of arrangements of the letters in the word 'MATH',5
Compute the result of (6 + 6) × 9,1
Find the integral of 1x^2 dx,2
"Compute the determinant of matrix [[2, 8], [7, 4]]",6
Differentiate: f(x) = 2x^6,2
What is the 10th term of an arithmetic sequence with first term 2 and common difference 2?,7
Find the probability of rolling a total of 2 with two dice.,3
Find the roots of the equation 4x^2 + 4x + 7 = 0,0
Solve for x: 4x + 10 = 10,0
Find the sum of the first 7 terms of the geometric series with ratio 2,7
What is the derivative of sin(4x)?,2
Find the integral of 6x^6 dx,2
"If A is a 2x2 matrix, what is A^2 for A = [[2, 7], [6, 1]]?",6
How many ways can you choose 7 items from 2?,5
"What is the rank of the matrix [[6, 3], [10, 9]]?",6
"If x + 7 = 7, what is the value of x?",0
Solve for x: 5x + 6 = 6,0
"If a coin is flipped 4 times, what is the probability of getting exactly 4 heads?",3
Find the roots of the equation 9x^2 + 10x + 1 = 0,0
What is the nth term of the sequence defined by a_n = 9n + 2?,7
How many ways can you choose 3 items from 6?,5
"If a coin is flipped 1 times, what is the probability of getting exactly 8 heads?",3
What is the perimeter of a rectangle with sides 2 and 5?,4
What is the perimeter of a rectangle with sides 2 and 2?,4
"If a coin is flipped 9 times, what is the probability of getting exactly 5 heads?",3
What is the derivative of sin(1x)?,2
Find the integral of 3x^2 dx,2
"If a coin is flipped 8 times, what is the probability of getting exactly 6 heads?",3
Evaluate: 2 - 2 ÷ 9,1
What is the nth term of the sequence defined by a_n = 7n + 8?,7
"If x + 6 = 8, what is the value of x?",0
"If x + 3 = 9, what is the value of x?",0
What is the derivative of sin(8x)?,2
Find the roots of the equation 4x^2 + 4x + 3 = 0,0
What is the nth term of the sequence defined by a_n = 7n + 10?,7
In how many ways can 6 people sit on a bench?,5
Calculate the volume of a cube with side length 6,4
Find the number of arrangements of the letters in the word 'MATH',5
"What is the rank of the matrix [[4, 8], [1, 1]]?",6
In how many ways can 4 people sit on a bench?,5
Calculate the volume of a cube with side length 4,4
Find the integral of 4x^6 dx,2
What is the derivative of sin(4x)?,2
In how many ways can 3 people sit on a bench?,5
Compute the result of (3 + 5) × 2,1
What is the perimeter of a rectangle with sides 6 and 2?,4
"Compute the determinant of matrix [[5, 9], [1, 5]]",6
Find the roots of the equation 2x^2 + 5x + 2 = 0,0
What is the nth term of the sequence defined by a_n = 3n + 7?,7
Solve for x: 9x + 7 = 5,0
Differentiate: f(x) = 1x^4,2
What is the perimeter of a rectangle with sides 9 and 2?,4
Compute the result of (3 + 4) × 8,1
How many ways can you choose 2 items from 5?,5
Calculate the volume of a cube with side length 4,4
"If A is a 2x2 matrix, what is A^2 for A = [[10, 6], [6, 4]]?",6
"If x + 3 = 3, what is the value of x?",0
Compute the result of (5 + 8) × 5,1
Differentiate: f(x) = 6x^4,2
Differentiate: f(x) = 3x^5,2
What is the value of 9 + 3 × 10?,1
In how many ways can 7 people sit on a bench?,5
Find the area of a triangle with base 7 and height 4,4
"If a coin is flipped 7 times, what is the probability of getting exactly 8 heads?",3
"If x + 3 = 1, what is the value of x?",0
Compute the result of (2 + 6) × 1,1
"If x + 10 = 3, what is the value of x?",0
What is the 10th term of an arithmetic sequence with first term 2 and common difference 9?,7
In how many ways can 10 people sit on a bench?,5
Compute the result of (7 + 1) × 3,1
In how many ways can 6 people sit on a bench?,5
What is the 10th term of an arithmetic sequence with first term 5 and common difference 2?,7
Differentiate: f(x) = 5x^4,2
In how many ways can 10 people sit on a bench?,5
Evaluate: 4 - 7 ÷ 10,1
What is the chance of drawing an ace from a standard deck?,3
Find the integral of 3x^2 dx,2
Find the sum of the first 2 terms of the geometric series with ratio 7,7
Find the roots of the equation 5x^2 + 6x + 10 = 0,0
"What is the rank of the matrix [[7, 8], [7, 6]]?",6
Find the probability of rolling a total of 1 with two dice.,3
Calculate the volume of a cube with side length 4,4
What is the chance of drawing an ace from a standard deck?,3
What is the value of 9 + 8 × 1?,1
Find the sum of the first 6 terms of the geometric series with ratio 6,7
What is the derivative of sin(10x)?,2
Compute the result of (9 + 7) × 8,1
"If x + 9 = 5, what is the value of x?",0
Compute the result of (6 + 4) × 6,1
Compute the result of (5 + 5) × 4,1
Evaluate: 7 - 5 ÷ 6,1
"Compute the determinant of matrix [[10, 8], [4, 4]]",6
Find the roots of the equation 2x^2 + 5x + 6 = 0,0
Find the probability of rolling a total of 2 with two dice.,3
Differentiate: f(x) = 3x^5,2
"If a coin is flipped 7 times, what is the probability of getting exactly 2 heads?",3
Evaluate: 3 - 1 ÷ 9,1
Evaluate: 1 - 1 ÷ 9,1
Find the number of arrangements of the letters in the word 'MATH',5
"If A is a 2x2 matrix, what is A^2 for A = [[8, 9], [2, 3]]?",6
Find the probability of rolling a total of 4 with two dice.,3
Find the roots of the equation 4x^2 + 5x + 1 = 0,0
Evaluate: 1 - 6 ÷ 8,1
What is the 10th term of an arithmetic sequence with first term 10 and common difference 2?,7
